id	name	str	icon
1030067	Gloomy Skull Hat Pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030068	Uniform Hat	a,	icon.etc_pi_gift_box_i00
1030069	Napoleon Hat	a,	icon.etc_pi_gift_box_i00
1030070	Popped-Out Eye	a,	icon.etc_pi_gift_box_i00
1030071	Button-Eyed Bear Doll Agathion 7-Day Pack	a,Resurrection\0	BranchSys.icon.br_four_leaf_clover_box_i00
1030072	Black Maneki Neko Agathion 7 Day Pack	a,Escape\0	BranchSys.icon.br_four_leaf_clover_box_i00
1030073	White Maneki Neko Agathion 7 Day Pack	a,Resurrection\0	BranchSys.icon.br_four_leaf_clover_box_i00
1030074	Energy Maintenance Set	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030075	Energy Replenishing Set	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030076	Halloween Hat	a,	icon.accessory_halloween_cap_i00
1030077	Halloween Pumpkin Transformation Stick 30 Day Pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030078	Halloween Scarecrow Transformation Stick 30 Day Pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030079	Halloween Kai the Cat Hat 30 Day Pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030080	Kai the Cat Hat	a,	icon.accessory_chi_the_cat_cap_i00
1030081	Golden Jack O'Lantern Mask 7 Day Pack	a,Authority of Golden Jack O'Lantern - Increase max HP 40%, max MP 40%, max CP 40%, Physical Def. 30%, Magic Def. 30%, Spd. 30% of party members for 10 minutes. \0	BranchSys.icon.br_four_leaf_clover_box_i00
1030082	Baekyi Hwamae Agathion	a,	BranchSys.icon.br_aga_bluebird_i00
1030083	Kwanwoo Hwamae Agathion	a,	BranchSys.icon.br_aga_hatbird_i00
1030084	Special July 7th Parcel	a,	icon.etc_pi_gift_box_i04
1030085	Monster Eye Hat 30 Day Pack	a,	icon.etc_pi_gift_box_i01
1030086	Fungus Hat 30 Day Pack	a,	icon.etc_pi_gift_box_i01
1030087	Agathion Cash Cow 7-Day Pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030088	Agathion Lucky Cow 7-Day Pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030089	Little Angel's Wings 7 Day Pack	a,Mana Regeneration\0	BranchSys.icon.br_four_leaf_clover_box_i00
1030090	Visor 7 Day Pack	a,Mana Regeneration\0	BranchSys.icon.br_four_leaf_clover_box_i00
1030091	Plastic Wig 7 day Pack	a,Blessed Escape\0	BranchSys.icon.br_four_leaf_clover_box_i00
1030092	Plastic Wig	a,	BranchSys.icon.br_plastic_hair_f_i00
1030093	Christmas Part 2 Grade A Gift Pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030094	Christmas Part 2 Grade S Gift Pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030095	Rudolph's Gift	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1040001	Small fortuna box	a,	br_cashtex.item.br_cash_lucky_box_i00
1040002	Middle fortuna box	a,	br_cashtex.item.br_cash_lucky_box_i00
1040003	Large fortuna box	a,	br_cashtex.item.br_cash_lucky_box_i00
1040004	Small fortuna cube	a,	br_cashtex.item.br_cash_lucky_cube_i00
1040005	Middle fortuna cube	a,	br_cashtex.item.br_cash_lucky_cube_i00
1040006	Large fortuna cube	a,	br_cashtex.item.br_cash_lucky_cube_i00
1040007	Weapon-type Enhance Backup Stone (D-Grade) 	a,	icon.ench_wp_stone_i00
1040008	Weapon-type Enhance Backup Stone (C-Grade) 	a,	icon.ench_wp_stone_i01
1040009	Weapon-type Enhance Backup Stone (B-Grade) 	a,	icon.ench_wp_stone_i02
1040010	Weapon-type Enhance Backup Stone (A-Grade) 	a,	icon.ench_wp_stone_i03
1040011	Weapon-type Enhance Backup Stone (S-Grade) 	a,	icon.ench_wp_stone_i04
1040012	Armor-type Enhance Backup Stone (D-Grade) 	a,	icon.ench_am_stone_i00
1040013	Armor-type Enhance Backup Stone (C-Grade) 	a,	icon.ench_am_stone_i01
1040014	Armor-type Enhance Backup Stone (B-Grade) 	a,	icon.ench_am_stone_i02
1040015	Armor-type Enhance Backup Stone (A-Grade) 	a,	icon.ench_am_stone_i03
1040016	Armor-type Enhance Backup Stone (S-Grade) 	a,	icon.ench_am_stone_i04
1040017	Rune of Exp. Points 50% 5 hours pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1040018	Rune of Exp. Points 50% 10 hours pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1040019	Rune of SP 50% 5 hour pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1040020	Rune of SP 50% 10 hour pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1040021	Rune of Feathers 24 hour pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1040022	Blessed Spiritshot Large Pack - D grade	a,It can be used for D-grade weapons. It is very light. Able to exchange/drop this item.\0	br_cashtex.item.br_cash_large_pack_of_blessed_spiritshot_d_i00
1040023	Blessed Spiritshot Large Pack - C grade	a,It can be used for C-grade weapons. It is very light. Able to exchange/drop this item.\0	br_cashtex.item.br_cash_large_pack_of_blessed_spiritshot_c_i00
1040024	Blessed Spiritshot Large Pack - B grade	a,It can be used for B-grade weapons. It is very light. Able to exchange/drop this item.\0	br_cashtex.item.br_cash_large_pack_of_blessed_spiritshot_b_i00
1040025	Blessed Spiritshot Large Pack - A grade	a,It can be used for A-grade weapons. It is very light. Able to exchange/drop this item.\0	br_cashtex.item.br_cash_large_pack_of_blessed_spiritshot_a_i00
1040026	Blessed Spiritshot Large Pack - S grade	a,It can be used for S-grade weapons. It is very light. Able to exchange/drop this item.\0	br_cashtex.item.br_cash_large_pack_of_blessed_spiritshot_s_i00
1040027	Soulshot Large Pack - D grade	a,It can be used for D-grade weapons. It is very light. Able to exchange/drop this item.\0	br_cashtex.item.br_cash_large_pack_of_soulshot_d_i00
1040028	Soulshot Large Pack - C grade	a,It can be used for C-grade weapons. It is very light. Able to exchange/drop this item.\0	br_cashtex.item.br_cash_large_pack_of_soulshot_c_i00
1040029	Soulshot Large Pack -  B grade	a,It can be used for B-grade weapons. It is very light. Able to exchange/drop this item.\0	br_cashtex.item.br_cash_large_pack_of_soulshot_b_i00
1040030	Soulshot Large Pack - A grade	a,It can be used for A-grade weapons. It is very light. Able to exchange/drop this item.\0	br_cashtex.item.br_cash_large_pack_of_soulshot_a_i00
1040031	Soulshot Large Pack - S grade	a,It can be used for S-grade weapons. It is very light. Able to exchange/drop this item.\0	br_cashtex.item.br_cash_large_pack_of_soulshot_s_i00
1040032	Bone Quiver	a,	br_cashtex.item.br_cash_quiver_of_bone_arrows_i00
1040033	Steel Quiver	a,	br_cashtex.item.br_cash_quiver_of_fine_steel_arrows_i00
1040034	Silver Quiver	a,	br_cashtex.item.br_cash_quiver_of_silver_arrows_i00
1040035	Mithril Quiver	a,	br_cashtex.item.br_cash_quiver_of_mithril_arrows_i00
1040036	Quiver of Light	a,	br_cashtex.item.br_cash_quiver_of_shining_arrows_i00
1040037	Bone Bolt Container	a,	br_cashtex.item.br_cash_quiver_of_bone_bolts_i00
1040038	Steel Bolt Container	a,	br_cashtex.item.br_cash_quiver_of_fine_steel_bolts_i00
1040039	Silver Bolt Container	a,	br_cashtex.item.br_cash_quiver_of_silver_bolts_i00
1040040	Mithril Bolt Container	a,	br_cashtex.item.br_cash_quiver_of_mithril_bolts_i00
1040041	Bolt Container of Light	a,	br_cashtex.item.br_cash_quiver_of_shining_bolts_i00
1040042	High-grade Healing Potion	a,	br_cashtex.item.br_cash_healing_potion_i00
1040043	Secret medicine of Will - D grade	a,	br_cashtex.item.br_cash_elixir_of_combative_d_i00
1040044	Secret medicine of Will - C grade	a,	br_cashtex.item.br_cash_elixir_of_combative_c_i00
1040045	Secret medicine of Will - B grade	a,	br_cashtex.item.br_cash_elixir_of_combative_b_i00
1040046	Secret medicine of Will - A grade	a,	br_cashtex.item.br_cash_elixir_of_combative_a_i00
1040047	Secret medicine of Will - S grade	a,	br_cashtex.item.br_cash_elixir_of_combative_s_i00
1040048	Secret medicine of Life - D grade	a,	br_cashtex.item.br_cash_elixir_of_life_d_i00
1040049	Secret medicine of Life - C grade	a,	br_cashtex.item.br_cash_elixir_of_life_c_i00
1040050	Secret medicine of Life - B grade	a,	br_cashtex.item.br_cash_elixir_of_life_b_i00
1040051	Secret medicine of Life - A grade	a,	br_cashtex.item.br_cash_elixir_of_life_a_i00
1040052	Secret medicine of Life - S grade	a,	br_cashtex.item.br_cash_elixir_of_life_s_i00
1040053	High Grade Potion of Will	a,	BranchSys.icon.br_cp_potion_i01
1040054	Potion of Energy Maintenance	a,	BranchSys.icon.br_vitality_potion_i00
1040055	Energy Replenishing Beverage	a,	icon.etc_potion_of_energy_i00
1040056	Energy Replenishing Beverage 3-Unit	a,	icon.etc_potion_of_energy_i00
1040057	Color Name	a,	icon.color_name_i00
1040058	A Scroll Bundle of Fighter	a,State Upkeep Time of 1 Hour.\0	br_cashtex.item.br_cash_fighter_buff_set_i00
1040059	A Scroll Bundle of Mage	a,State Upkeep Time of 1 Hour.\0	br_cashtex.item.br_cash_mage_buff_set_i00
1040060	Wind Walk Scroll	a,	br_cashtex.item.br_cash_scroll_of_wind_walk_i00
1040061	Haste Scroll	a,	br_cashtex.item.br_cash_scroll_of_haste_i00
1040062	Might Scroll	a,	br_cashtex.item.br_cash_scroll_of_might_i00
1040063	Shield Scroll	a,	br_cashtex.item.br_cash_scroll_of_shield_i00
1040064	Death Whisper Scroll	a,	br_cashtex.item.br_cash_scroll_of_death_whisper_i00
1040065	Guidance Scroll	a,	br_cashtex.item.br_cash_scroll_of_guidance_i00
1040066	Empower Scroll	a,	br_cashtex.item.br_cash_scroll_of_empower_i00
1040067	Grater Acumen Scroll	a,	br_cashtex.item.br_cash_scroll_of_greater_acumen_i00
1040068	Vampiric Rage Scroll	a,	br_cashtex.item.br_cash_scroll_of_vampiric_rage_i00
1040069	Bless the Body Scroll	a,	br_cashtex.item.br_cash_scroll_of_bless_the_body_i00
1040070	Berserker Spirit Scroll	a,	br_cashtex.item.br_cash_scroll_of_berserker_spirit_i00
1040071	Magic Barrier Scroll	a,	br_cashtex.item.br_cash_scroll_of_magic_barrier_i00
1040072	Bless the Soul Scroll	a,	br_cashtex.item.br_cash_scroll_of_bless_the_soul_i00
1040073	Clarity Scroll	a,	br_cashtex.item.br_cash_scroll_of_clarity_i00
1040074	Wild Magic Scroll	a,	br_cashtex.item.br_cash_scroll_of_wild_magic_i00
1040075	Escape - Elven Village	a,	BranchSys.icon.br_escape_scroll_i00
1040076	Escape - Dark Elven Village	a,	BranchSys.icon.br_escape_scroll_i00
1040077	Escape - Orc Village	a,	BranchSys.icon.br_escape_scroll_i00
1040078	Escape - Dwarven Village	a,	BranchSys.icon.br_escape_scroll_i00
1040079	Escape - Gludin Village	a,	BranchSys.icon.br_escape_scroll_i00
1040080	Escape - Town of Gludio	a,	BranchSys.icon.br_escape_scroll_i00
1040081	Escape - Town of Dion	a,	BranchSys.icon.br_escape_scroll_i00
1040082	Escape - Floran Village	a,	BranchSys.icon.br_escape_scroll_i00
1040083	Escape - Giran Castle Town	a,	BranchSys.icon.br_escape_scroll_i00
1040084	Escape - Hardin's Academy	a,	BranchSys.icon.br_escape_scroll_i00
1040085	Escape - Heine	a,	BranchSys.icon.br_escape_scroll_i00
1040086	Escape - Town of Oren	a,	BranchSys.icon.br_escape_scroll_i00
1040087	Escape - Ivory Tower	a,	BranchSys.icon.br_escape_scroll_i00
1040088	Escape - Hunters Village	a,	BranchSys.icon.br_escape_scroll_i00
1040089	Escape - Town of Aden	a,	BranchSys.icon.br_escape_scroll_i00
1040090	Escape - Town of Goddard	a,	BranchSys.icon.br_escape_scroll_i00
1040091	Escape - Rune Township	a,	BranchSys.icon.br_escape_scroll_i00
1040092	Escape - Town of Schuttgart	a,	BranchSys.icon.br_escape_scroll_i00
1040093	Omen Beast Transformation Scroll	a,Impossible to recover after removal of transformation state No exchange/drop available.\0	BranchSys.icon.br_scroll_of_transformation_i00
1040094	Death Blader Transformation Scroll	a,Impossible to recover after removal of transformation state No exchange/drop available.\0	BranchSys.icon.br_scroll_of_transformation_i00
1040095	Grail Apostle Transformation Scroll	a,Impossible to recover after removal of transformation state No exchange/drop available.\0	BranchSys.icon.br_scroll_of_transformation_i00
1040096	Unicorn Transformation Scroll	a,Impossible to recover after removal of transformation state No exchange/drop available.\0	BranchSys.icon.br_scroll_of_transformation_i00
1040097	Lilim Knight Transformation Scroll	a,Impossible to recover after removal of transformation state No exchange/drop available.\0	BranchSys.icon.br_scroll_of_transformation_i00
1040098	Golem Guardian Transformation Scroll	a,Impossible to recover after removal of transformation state No exchange/drop available.\0	BranchSys.icon.br_scroll_of_transformation_i00
1040099	Inferno Drake Transformation Scroll	a,Impossible to recover after removal of transformation state No exchange/drop available.\0	BranchSys.icon.br_scroll_of_transformation_i00
1040100	Dragon Bomber Transformation Scroll	a,Impossible to recover after removal of transformation state No exchange/drop available.\0	BranchSys.icon.br_scroll_of_transformation_i00
1040101	Feather of Blessing	a,	icon.blessed_feather_i00
1040102	Hunting Helper Exchange Coupon - 5 hours	a,	icon.etc_ticket_red_i00
1040103	Elite Hunting Helper Exchange Coupon - 5 hours	a,	icon.etc_ticket_red_i00
1040104	Sweet Fruit Cocktail	a,	BranchSys.icon.br_fruit_cocktail_i00
1040105	Fresh Fruit Cocktail	a,	BranchSys.icon.br_fruit_cocktail_i01
1040106	Afro Hair 7 day Pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1040107	Horn Rimmed Glasses 7 day pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1040108	Assassin's Bamboo Hat 7 day pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1040109	Wrapped daisy hairpin	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1040110	Wrapped forget-me-not hairpin	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1040111	Wrapped Red Horn of Victory	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1040112	Wrapped Cat Ear	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1040113	Wrapped Artisan's Goggles	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1040114	Wrapped Dandy's Chapeau	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1040115	Uniform Hat Pack	a,	icon.etc_pi_gift_box_i00
1040116	Ribbon Hairband Pack	a,	icon.etc_pi_gift_box_i00
1040117	Ornithomimus Hat 30 Day Pack	a,	icon.etc_pi_gift_box_i00
1040118	Kat the Cat Hat 30 Day Pack	a,	icon.etc_pi_gift_box_i00
1040119	Feline Queen Hat 30 Day Pack	a,	icon.etc_pi_gift_box_i00
1040120	Feline King Hat 30 Day Pack	a,	icon.etc_pi_gift_box_i00
1040121	Kai the Cat Hat 30 Day Pack	a,	icon.etc_pi_gift_box_i00
1040122	Monster Eye Hat 30 Day Pack	a,	icon.etc_pi_gift_box_i01
1040123	Brown Bear Hat 30 Day Pack	a,	icon.etc_pi_gift_box_i01
1040124	Fungus Hat 30 Day Pack	a,	icon.etc_pi_gift_box_i01
1040125	Skull Hat 30 Day Pack	a,	icon.etc_pi_gift_box_i01
1040126	Agathion of Love 30 Day Pack	a,	icon.etc_pi_gift_box_i00
1040127	Sudden Agathion 30 Day Pack	a,	icon.etc_pi_gift_box_i00
1040128	Shiny Agathion 30 Day Pack	a,	icon.etc_pi_gift_box_i00
1040129	Sobbing Agathion 30 Day Pack	a,	icon.etc_pi_gift_box_i00
1040130	Pumpkin Transformation Stick 30 Day Pack	a,	icon.etc_pi_gift_box_i01
1040131	Scarecrow Jack Transformation Stick 30 Day Pack	a,	icon.etc_pi_gift_box_i00
1040132	Tin Golem Transformation Stick 30 Day Pack	a,	icon.etc_pi_gift_box_i00
1040133	Gold Maned Lion Mounting Bracelet 30 Day Pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1040134	Steam Beatle Mounting Bracelet 30 Day Pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1040135	Light Purple Maned Horse Bracelet 30 Day Pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1040136	Free Teleport Scroll	a,	icon.bookmark_book_i00
1040137	Free Teleport Spellbook 	a,	icon.bookmark_scroll_i00
1040138	Free Teleport Flag 	a,	BranchSys.icon.br_flag_of_bookmark_i00
1040139	Extra Entrance Pass - Kamaloka (Hall of the Abyss) 	a,	icon.ticket_i00
1040140	Extra Entrance Pass - Near Kamaloka 	a,	icon.ticket_i00
1040141	Extra Entrance Pass - Kamaloka (Labyrinth of the Abyss) 	a,	icon.ticket_i00
1040142	Small fortuna box	a,	br_cashtex.item.br_cash_lucky_box_i00
1040143	Middle fortuna box	a,	br_cashtex.item.br_cash_lucky_box_i00
1040144	Large fortuna box	a,	br_cashtex.item.br_cash_lucky_box_i00
1040145	Small fortuna cube	a,	br_cashtex.item.br_cash_lucky_cube_i00
1040146	Middle fortuna cube	a,	br_cashtex.item.br_cash_lucky_cube_i00
1040147	Large fortuna cube	a,	br_cashtex.item.br_cash_lucky_cube_i00
1040148	Weapon-type Enhance Backup Stone (D-Grade) 	a,	icon.ench_wp_stone_i00
1040149	Weapon-type Enhance Backup Stone (C-Grade) 	a,	icon.ench_wp_stone_i01
1040150	Weapon-type Enhance Backup Stone (B-Grade) 	a,	icon.ench_wp_stone_i02
1040151	Weapon-type Enhance Backup Stone (A-Grade) 	a,	icon.ench_wp_stone_i03
1040152	Weapon-type Enhance Backup Stone (S-Grade) 	a,	icon.ench_wp_stone_i04
1040153	Armor-type Enhance Backup Stone (D-Grade) 	a,	icon.ench_am_stone_i00
1040154	Armor-type Enhance Backup Stone (C-Grade) 	a,	icon.ench_am_stone_i01
1040155	Armor-type Enhance Backup Stone (B-Grade) 	a,	icon.ench_am_stone_i02
1040156	Armor-type Enhance Backup Stone (A-Grade) 	a,	icon.ench_am_stone_i03
1040157	Armor-type Enhance Backup Stone (S-Grade) 	a,	icon.ench_am_stone_i04
1040158	Rune of Exp. Points 50% 5 hours pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1040159	Rune of Exp. Points 50% 10 hours pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1040160	Rune of SP 50% 5 hour pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1040161	Rune of SP 50% 10 hour pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1040162	Rune of Feathers 24 hour pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1040163	Bone Quiver	a,	br_cashtex.item.br_cash_quiver_of_bone_arrows_i00
1040164	Steel Quiver	a,	br_cashtex.item.br_cash_quiver_of_fine_steel_arrows_i00
1040165	Silver Quiver	a,	br_cashtex.item.br_cash_quiver_of_silver_arrows_i00
1040166	Mithril Quiver	a,	br_cashtex.item.br_cash_quiver_of_mithril_arrows_i00
1040167	Quiver of Light	a,	br_cashtex.item.br_cash_quiver_of_shining_arrows_i00
1040168	Bone Bolt Container	a,	br_cashtex.item.br_cash_quiver_of_bone_bolts_i00
1040169	Steel Bolt Container	a,	br_cashtex.item.br_cash_quiver_of_fine_steel_bolts_i00
1040170	Silver Bolt Container	a,	br_cashtex.item.br_cash_quiver_of_silver_bolts_i00
1040171	Mithril Bolt Container	a,	br_cashtex.item.br_cash_quiver_of_mithril_bolts_i00
1040172	Bolt Container of Light	a,	br_cashtex.item.br_cash_quiver_of_shining_bolts_i00
1040173	High-grade Healing Potion	a,	br_cashtex.item.br_cash_healing_potion_i00
1040174	Secret medicine of Will - D grade	a,	br_cashtex.item.br_cash_elixir_of_combative_d_i00
1040175	Secret medicine of Will - C grade	a,	br_cashtex.item.br_cash_elixir_of_combative_c_i00
1040176	Secret medicine of Will - B grade	a,	br_cashtex.item.br_cash_elixir_of_combative_b_i00
1040177	Secret medicine of Will - A grade	a,	br_cashtex.item.br_cash_elixir_of_combative_a_i00
1040178	Secret medicine of Will - S grade	a,	br_cashtex.item.br_cash_elixir_of_combative_s_i00
1040179	Secret medicine of Life - D grade	a,	br_cashtex.item.br_cash_elixir_of_life_d_i00
1040180	Secret medicine of Life - C grade	a,	br_cashtex.item.br_cash_elixir_of_life_c_i00
1040181	Secret medicine of Life - B grade	a,	br_cashtex.item.br_cash_elixir_of_life_b_i00
1040182	Secret medicine of Life - A grade	a,	br_cashtex.item.br_cash_elixir_of_life_a_i00
1040183	Secret medicine of Life - S grade	a,	br_cashtex.item.br_cash_elixir_of_life_s_i00
1040184	High Grade Potion of Will	a,	BranchSys.icon.br_cp_potion_i01
1040185	Potion of Energy Maintenance	a,	BranchSys.icon.br_vitality_potion_i00
1040186	Energy Replenishing Beverage	a,	icon.etc_potion_of_energy_i00
1040187	Energy Replenishing Beverage 3-Unit	a,	icon.etc_potion_of_energy_i00
1040188	Color Name	a,	icon.color_name_i00
1040189	A Scroll Bundle of Fighter	a,State Upkeep Time of 1 Hour.\0	br_cashtex.item.br_cash_fighter_buff_set_i00
1040190	A Scroll Bundle of Mage	a,State Upkeep Time of 1 Hour.\0	br_cashtex.item.br_cash_mage_buff_set_i00
1040191	Wind Walk Scroll	a,	br_cashtex.item.br_cash_scroll_of_wind_walk_i00
1040192	Haste Scroll	a,	br_cashtex.item.br_cash_scroll_of_haste_i00
1040193	Might Scroll	a,	br_cashtex.item.br_cash_scroll_of_might_i00
1040194	Shield Scroll	a,	br_cashtex.item.br_cash_scroll_of_shield_i00
1040195	Death Whisper Scroll	a,	br_cashtex.item.br_cash_scroll_of_death_whisper_i00
1040196	Guidance Scroll	a,	br_cashtex.item.br_cash_scroll_of_guidance_i00
1040197	Empower Scroll	a,	br_cashtex.item.br_cash_scroll_of_empower_i00
1040198	Grater Acumen Scroll	a,	br_cashtex.item.br_cash_scroll_of_greater_acumen_i00
1040199	Vampiric Rage Scroll	a,	br_cashtex.item.br_cash_scroll_of_vampiric_rage_i00
1040200	Bless the Body Scroll	a,	br_cashtex.item.br_cash_scroll_of_bless_the_body_i00
1040201	Berserker Spirit Scroll	a,	br_cashtex.item.br_cash_scroll_of_berserker_spirit_i00
1040202	Magic Barrier Scroll	a,	br_cashtex.item.br_cash_scroll_of_magic_barrier_i00
1040203	Bless the Soul Scroll	a,	br_cashtex.item.br_cash_scroll_of_bless_the_soul_i00
1040204	Clarity Scroll	a,	br_cashtex.item.br_cash_scroll_of_clarity_i00
1040205	Wild Magic Scroll	a,	br_cashtex.item.br_cash_scroll_of_wild_magic_i00
1040206	Escape - Elven Village	a,	BranchSys.icon.br_escape_scroll_i00
1040207	Escape - Dark Elven Village	a,	BranchSys.icon.br_escape_scroll_i00
1040208	Escape - Orc Village	a,	BranchSys.icon.br_escape_scroll_i00
1040209	Escape - Dwarven Village	a,	BranchSys.icon.br_escape_scroll_i00
1040210	Escape - Gludin Village	a,	BranchSys.icon.br_escape_scroll_i00
1040211	Escape - Town of Gludio	a,	BranchSys.icon.br_escape_scroll_i00
1040212	Escape - Town of Dion	a,	BranchSys.icon.br_escape_scroll_i00
1040213	Escape - Floran Village	a,	BranchSys.icon.br_escape_scroll_i00
1040214	Escape - Giran Castle Town	a,	BranchSys.icon.br_escape_scroll_i00
1040215	Escape - Hardin's Academy	a,	BranchSys.icon.br_escape_scroll_i00
1040216	Escape - Heine	a,	BranchSys.icon.br_escape_scroll_i00
1040217	Escape - Town of Oren	a,	BranchSys.icon.br_escape_scroll_i00
1040218	Escape - Ivory Tower	a,	BranchSys.icon.br_escape_scroll_i00
1040219	Escape - Hunters Village	a,	BranchSys.icon.br_escape_scroll_i00
1040220	Escape - Town of Aden	a,	BranchSys.icon.br_escape_scroll_i00
1040221	Escape - Town of Goddard	a,	BranchSys.icon.br_escape_scroll_i00
1040222	Escape - Rune Township	a,	BranchSys.icon.br_escape_scroll_i00
1040223	Escape - Town of Schuttgart	a,	BranchSys.icon.br_escape_scroll_i00
1040224	Omen Beast Transformation Scroll	a,Impossible to recover after removal of transformation state No exchange/drop available.\0	BranchSys.icon.br_scroll_of_transformation_i00
1040225	Death Blader Transformation Scroll	a,Impossible to recover after removal of transformation state No exchange/drop available.\0	BranchSys.icon.br_scroll_of_transformation_i00
1040226	Grail Apostle Transformation Scroll	a,Impossible to recover after removal of transformation state No exchange/drop available.\0	BranchSys.icon.br_scroll_of_transformation_i00
1040227	Unicorn Transformation Scroll	a,Impossible to recover after removal of transformation state No exchange/drop available.\0	BranchSys.icon.br_scroll_of_transformation_i00
1040228	Lilim Knight Transformation Scroll	a,Impossible to recover after removal of transformation state No exchange/drop available.\0	BranchSys.icon.br_scroll_of_transformation_i00
1040229	Golem Guardian Transformation Scroll	a,Impossible to recover after removal of transformation state No exchange/drop available.\0	BranchSys.icon.br_scroll_of_transformation_i00
1040230	Inferno Drake Transformation Scroll	a,Impossible to recover after removal of transformation state No exchange/drop available.\0	BranchSys.icon.br_scroll_of_transformation_i00
1040231	Dragon Bomber Transformation Scroll	a,Impossible to recover after removal of transformation state No exchange/drop available.\0	BranchSys.icon.br_scroll_of_transformation_i00
1040232	Feather of Blessing	a,	icon.blessed_feather_i00
1040233	Hunting Helper Exchange Coupon - 5 hours	a,	icon.etc_ticket_red_i00
1040234	Elite Hunting Helper Exchange Coupon - 5 hours	a,	icon.etc_ticket_red_i00
1040235	Sweet Fruit Cocktail	a,	BranchSys.icon.br_fruit_cocktail_i00
1040236	Fresh Fruit Cocktail	a,	BranchSys.icon.br_fruit_cocktail_i01
1040237	Afro Hair 7 day Pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1040238	Horn Rimmed Glasses 7 day pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1040239	Assassin's Bamboo Hat 7 day pack	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1040240	Wrapped daisy hairpin	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1040241	Wrapped forget-me-not hairpin	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1040242	Wrapped Red Horn of Victory	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1040243	Wrapped Cat Ear	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1040244	Wrapped Artisan's Goggles	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1040245	Wrapped Dandy's Chapeau	a,	br_cashtex.item.br_cash_wrapped_accessary_i00
1040246	Uniform Hat Pack	a,	icon.etc_pi_gift_box_i00
1040247	Ribbon Hairband Pack	a,	icon.etc_pi_gift_box_i00
1040248	Ornithomimus Hat 30 Day Pack	a,	icon.etc_pi_gift_box_i00
1040249	Kat the Cat Hat 30 Day Pack	a,	icon.etc_pi_gift_box_i00
1040250	Feline Queen Hat 30 Day Pack	a,	icon.etc_pi_gift_box_i00
1040251	Feline King Hat 30 Day Pack	a,	icon.etc_pi_gift_box_i00
1040252	Kai the Cat Hat 30 Day Pack	a,	icon.etc_pi_gift_box_i00
1040253	Monster Eye Hat 30 Day Pack	a,	icon.etc_pi_gift_box_i01
1040254	Brown Bear Hat 30 Day Pack	a,	icon.etc_pi_gift_box_i01
1040255	Fungus Hat 30 Day Pack	a,	icon.etc_pi_gift_box_i01
1040256	Skull Hat 30 Day Pack	a,	icon.etc_pi_gift_box_i01
1040257	Agathion of Love 30 Day Pack	a,	icon.etc_pi_gift_box_i00
1040258	Sudden Agathion 30 Day Pack	a,	icon.etc_pi_gift_box_i00
1040259	Shiny Agathion 30 Day Pack	a,	icon.etc_pi_gift_box_i00
1040260	Sobbing Agathion 30 Day Pack	a,	icon.etc_pi_gift_box_i00
1040261	Pumpkin Transformation Stick 30 Day Pack	a,	icon.etc_pi_gift_box_i01
1040262	Scarecrow Jack Transformation Stick 30 Day Pack	a,	icon.etc_pi_gift_box_i00
