id	int1	int2	enable_?	tip
233	1	0	1	a,If a mail(regular, COD) with an item attachment have been sent, additional service is not applied. \\n If a mail with an item attachment have been sent, confirm it until the regular inspection and cancel the mail if the recipient have not received the item. \0
234	3	0	1	a,With the implementation of Mail System, ability of warehouse freightman function have been changed to regular warehouse function. Use of cargo warehouse is not possible anymore. \0
235	4	0	1	u,New pet, Deinonychus is only possible to be acquired in Primeval Isle, and Guardian’s Strider can be exchanged to Territory Badge through ‘Mercenary Captain’ in each territory.\0
236	2	0	1	a,You can no longer sell/trade/mail pets containing hidden items.  Please make sure to summon the pet and remove all items before attempting one of these actions.\0
237	1	0	1	a,When re-summoning a pet, please check your weight gauge and available inventory slots.  Items will be dropped on the ground if you do not have enough space.\0
238	3	0	1	a,The Item Re-purchase System has been added to aid the player in retrieving those items sold by mistake.\0
239	4	0	1	a,It is only possible to re-purchase the last 12 items sold to a vendor, and re-purchase is not possible after you've restarted.\0
240	1	0	1	a,The Sell link of all merchants has been deleted to enable Purchase/Sell/Re-purchase through the Trade link.\0
241	4	102	1	a,7 Epic chain quests have been addded to explain the hidden stories related to Seven Sign.\\nHigh exp. and SP along with exclusive Epic Quest Items are part of the rewards offered.\0
242	3	0	1	a,Skill Enchantment is now possible through your Skill Window (Alt+K). Adena and SP will be spent during skill enchantment.\0
243	2	0	1	u,Cardinals/Eva’s Sains/Shillien Saints who have completed their 3rd class transfer and are above level 76 may acquire certain skills from other healer classes by using ‘Holy Pomander’.  \0
244	3	0	1	u,One ‘Holy Pomander’ is required in order to acquire a skill through Skill Link, and this item can be received as a reward after the completion of 3rd Class Change. \0
245	1	0	1	u,Skills acquired through Skill Certification can be deleted by a skill trainer. At this time, 10 million adena is required, and ‘Holy Pomander’ will be given back. Please be cautious since all Certified skills acquired will be removed. \0
246	1	0	1	u,Characters will not be attacked by aggressive monsters for about 10 minutes after logging in. However, any actions other than ‘/Escape’ within that 10 minutes will cause attacks.  \0
247	1	0	1	u,Any characters below level 75 can receive Newbie Guide and Adventurer’s Guide assist buffs. \0
248	3	0	0	a,All in-game GM character names have the following formats: \\n"*GM*Name" or "*Name*". Petition immediately if someone claims to \\nrepresent NCsoft, but does not have these symbols in their name.\0
249	3	0	1	a,Deliberately attempting to interfere with sieges by dropping \\nexcessive items on the ground is a punishable offense.\0
250	3	0	0	a,Stores that contribute to blocking hallways, arches or passages \\nin peace zones are subject to relocation by GMs.\0
251	3	0	1	a,The use of third-party software to automate gameplay (including \\nchat and private store) is a bannable offense.\0
252	3	0	1	a,The purchase, sales, and/or trading of in-game assets for real world compensation \\n is a violation of the User Agreement/Rules of Conduct and a punishable offense.\0
253	3	0	1	a,If you are caught receiving in-game currency or items by Real-Money-Trade (RMT), your account could be temporarily or permanently banned. Please visit our website for more details on this policy. \0
254	3	0	1	a,For Territorial War, clan registeration also over rules individual clan member registeration.  If a clan has registered with region A, all clan members will be rewarded with badges from region A.\0
